❗️,❓,Category,Start,End,Conference,Location,Description
TRUE,FALSE,Web3,18 February,20 February,Consensus Hong Kong,Hong Kong,"(Jin is going) By Coindesk since 2015. It’s where the most influential companies in blockchain, digital assets and Web3 come together to drive the industry forward."
FALSE,TRUE,Ethereum,23 February,2 March,ETH Denver,"Denver, USA",(Jin is going)
FALSE,FALSE,Ethereum,25 February,,Pragma Denver,"Denver, USA","Conference, by ETH Global"
FALSE,FALSE,AI,26 February,27 February,AI Festival,"Milan, Italy","(Javier's list) professionals, companies, startups, and stakeholders to discuss and delve into the revolution brought by AI, not only in daily life but also in political, social, and work environments."
FALSE,FALSE,AI,3 March,6 March,MWC 25,"Barcelona, Spain","(Javier's list) Ultimate confluence of technology, people and ideas – creating the blueprint for future industries and societies"
FALSE,FALSE,AI,9 March,13 March,Human X,"Las Vegas, USA",(Javier's list) HumanX is the Most Important AI Conference of the Year
FALSE,FALSE,Ethereum,10 March,16 March,ETH San Francisco,"San Francisco, USA",Hackathon
FALSE,FALSE,Web2,26 March,,CloudConf 2025,"Turin, Italy","GitHub is attending. Great speaker lineup. The most beloved cloud conference returns for its biggest edition yet, with over 1,000 attendees and tons of content, talks, and networking."
FALSE,FALSE,AI,12 March,13 March,Gartner Digital Workplace Summit,"Grapevine, TX, USA","Premier conference to help digital workplace leaders tasked with enhancing digital employee experience, leveraging GenAI and improving technology adoption."
FALSE,FALSE,AI,17 March,21 March,Nvidia GTC,"San Jose, USA","(Javier's list) Thousands of developers, innovators, and business leaders to experience how AI and accelerated computing are helping humanity solve our most complex challenges."
FALSE,FALSE,AI,24 March,26 March,Responsible AI Forum,"Chicago, USA","(Javier's list) transformative event that brings together industry leaders, innovators, and changemakers to explore the future of ethical artificial intelligence."
FALSE,FALSE,AI,25 March,26 March,Business Innovation Summit,"London, UK",March 25th: AI for CFOs and March 26th: From AI to ROI. Empowering business leaders to innovate and seize growth opportunities with AI and other emerging technologies
FALSE,FALSE,Web3,30 March,5 April,SEA Blockchain Week,"Bangkok, Thailand","By Shardlab & Hashed, dedicated to exploring the evolving landscape of Web3 technology in one of the world's most dynamic and rapidly growing regions."
FALSE,FALSE,AI,31 March,1 April,Chatbot Summit,"Berlin, Germany","(Javier's list) Top europaen and international tech companies, a range of AI topics, agentic AI"
FALSE,FALSE,Ethereum,3 April,,Pragma Taipei,"Taipei, Taiwan","Conference, by ETH Global"
FALSE,FALSE,Ethereum,4 April,6 April,ETH Global Taipei,"Taipei, Taiwan",Hackathon
FALSE,FALSE,Web3,6 April,9 April,Web3 Festival Hong Kong,Hong Kong,Co-hosted by Wanxiang Blockchain Labs and HashKey Group and organized by W3ME and title-sponsored by OKX
FALSE,TRUE,Web3,8 April,10 April,Paris Blockchain Week,"Paris, France",(Jin is going) Premier event for professionals shaping the future of blockchain and Web3 technologies
FALSE,FALSE,Web2,9 April,11 April,GitHub at Google Cloud Next,"Las Vegas, USA","Github team, 2 side events: After Dark Reception (networking) and Dine with GitHub Leadership (invitation-only dinner)"
FALSE,FALSE,Web2,9 April,11 April,Google Cloud Next,"Las Vegas, USA",Top Google event. Connect with industry luminaries and network with peers from around the world. Next is where leading minds come together to share what they’re creating.
FALSE,FALSE,Ethereum,12 April,,ETH Vietnam 2025,"Ho Chi Minh, Vietnam",
FALSE,FALSE,Ethereum,14 April,,ETH Seoul,"Seoul, Korea",
FALSE,FALSE,Web3,15 April,16 April,BUIDL Asia,"Seoul, Korea",
FALSE,FALSE,AI,15 April,16 April,World Summit AI Montreal,"Montreal, Canada",(Javier's list) The world’s leading AI summit for the Americas brings together the  global AI ecosystem.
FALSE,FALSE,AI & Web3,15 April,17 April,NexTech Week Tokyo Spring,"Tokyo, Japan","(Javier's list) The exhibition will feature products and solutions related to AI, blockchain, and quantum computing. Various industries such as manufacturing, social infrastructure, retail, logistics, medical, finance, and government."
FALSE,FALSE,AI & Web3,16 April,17 April,Teamz Web3 & AI Summit,"Tokyo, Japan","Japan's premier Web3/Ai conference, 7th edition"
FALSE,TRUE,Web2,29 April,30 April,Running Remote,"Austin, USA","Every year, hundreds of companies from around the globe attend our two-day live event to discuss the latest strategies & learn from industry leaders on flexible work, company culture, scaling, transitioning, AI and more."
FALSE,FALSE,AI,23 April,24 April,CDAO Singapore,Singapore,"(Javier's list) largest annual gathering of the nation’s most senior data, analytics, and AI decision-makers. Artificial Intelligence (AI), machine learning, data governance, compliance, and data security, as well as unlocking the full potential of data as a strategic asset."
FALSE,TRUE,Web3,30 April,1 May,Token2049 Dubai,"Dubai, UAE",(Jin is going)
FALSE,FALSE,Ethereum,9 May,11 May,ETHDam Amsterdam,"Amsterdam, Netherlands",
FALSE,FALSE,Ethereum,9 May,11 May,ETH Lisbon,"Lisbon, Portugal",
FALSE,FALSE,AI,11 May,13 May,AI eEverything Global Summit,"Abu Dhabi, UAE","Open-source R1, the shifting balance of AI power, the economics of energy-intensive data centers, and other advancements driving global economies. UNITING FOUNDERS, INVESTORS & CORPORATE INNOVATORS TO CO-CREATE OUR FUTURE"
FALSE,TRUE,Web3,14 May,16 May,Consensus Toronto,"Toronto, Canada","(Jin is going) By Coindesk since 2015. It’s where the most influential companies in blockchain, digital assets and Web3 come together to drive the industry forward."
FALSE,FALSE,AI,14 May,16 May,AI Expo Korea,"Seoul, Korea",High-quality B2B sales leads at the MOST effective AI SHOW in Korea
